cell	cell_x	cell_y	cell_n_transcripts	cell_density	cell_elongation	cell_area	cell_avg_confidence	cell_Celltype	Area_Cluster
2666	3235.24096385542	4085.27710843374	83	0.02484	3.066	3342	0.9999	B (Plasma)	2
2667	3180.8085106383	4183.69503546099	141	0.02394	2.403	5890	1	Stem + TA	2
2668	5659.16	1721.9	250	0.02833	3.108	8824	0.9834	Enterocyte (Top Villus)	4
2669	3782.53278688525	3530.46721311475	122	0.01596	2.093	7646	1	Enterocyte (Bottom Villus)	4
267	2550.728	1208.632	125	0.02587	5.45	4831	0.973	Stromal	3
2670	1031.7	6324.925	80	0.02173	4.149	3681	0.9994	Smooth Muscle	1
2671	4278.79069767442	3022.87209302326	86	0.02775	1.41	3099	1	Enterocyte (Mid Villus)	4
2672	3792.05555555556	3481.86111111111	36	0.0112	1.153	3213	1	Enterocyte (Bottom Villus)	4
2673	3479.89944134078	3836.90502793296	179	0.01921	2.66	9320	0.9958	Goblet	2
2674	3844.2962962963	3523.18518518519	27	0.01322	2.153	2042	1	Goblet	4
2675	2310.26229508197	4976.01639344262	61	0.009333	2.241	6536	0.9979	Stem + TA	2
2676	3068.3375	4237.4125	80	0.02339	4.456	3420	0.9961	Stem + TA	2
2677	2398.69965870307	4937.48805460751	293	0.02733	2.221	10720	0.9923	Tuft	2
2679	3897.29508196721	3448.61475409836	122	0.02303	1.756	5298	0.9987	Enterocyte (Bottom Villus)	4
268	1629.5625	2144.875	32	0.01778	1.6	1800	0.9577	Myenteric Plexus	3
2680	1440.66233766234	5986.09090909091	77	0.01314	2.595	5858	0.9343	Smooth Muscle	1
2681	1095.35820895522	6265.9552238806	67	0.02023	6.473	3312	0.9983	Macrophage + DC	3
2682	4880.52830188679	2446.2358490566	106	0.02236	1.689	4740	0.9995	Goblet	4
2683	3869	3484.5	22	0.02804	1.977	784.5	1	Enterocyte (Mid Villus)	4
2684	1459.17721518987	5906.35443037975	79	0.01283	1.498	6158	0.9151	Smooth Muscle	1
2685	867.291666666667	6418.70833333333	72	0.01813	1.415	3972	0.9493	Smooth Muscle	1
2686	1567.34234234234	5772.74774774775	111	0.01568	1.342	7078	0.9104	Smooth Muscle	1
2687	3121.05150214592	4203.10729613734	233	0.02414	1.703	9654	0.9978	Stem + TA	2
2688	4745.7984496124	2611.57364341085	258	0.0186	1.855	13870	0.9889	Goblet	4
2689	2751.35443037975	4665.15189873418	79	0.01138	6.872	6942	0.9557	Stromal	
269	1417.58333333333	2321.16666666667	36	0.01763	2.25	2042	0.9675	Telocyte	1
2690	983.770114942529	6411.3908045977	87	0.02233	2.494	3896	0.9883	Smooth Muscle	1
2691	4279.8115942029	3044.50724637681	138	0.01705	2.321	8096	0.9912	Enterocyte (Mid Villus)	4
2692	3793.07547169811	3585.47169811321	53	0.01006	3.248	5266	1	Enterocyte (Mid Villus)	4
2693	3766.31818181818	3501.54545454545	22	0.01501	4.991	1466	0.9519	Enterocyte (Bottom Villus)	4
2694	3625.92405063291	3777.69620253165	79	0.02062	2.993	3831	1	Enterocyte (Mid Villus)	4
2695	2411.32291666667	4999.25	96	0.01867	2.27	5141	0.9905	Stem + TA	2
2696	4739.80952380952	2539.38095238095	21	0.02035	3.686	1032	1	Enterocyte (Mid Villus)	4
2698	4950.16	2420.19	100	0.02223	4.841	4498	0.9987	Enterocyte (Mid Villus)	4
2699	1060.91803278689	6292.91803278689	61	0.01674	4.258	3644	0.9456	Smooth Muscle	3
27	2233.24731182796	264.172043010753	93	0.01598	2.493	5820	0.9583	Smooth Muscle	1
270	3256.42713567839	463.969849246231	199	0.01886	1.712	10550	0.9911	Stem + TA	2
2700	3347.92970521542	4034.08390022676	441	0.03177	1.206	13880	0.9963	Goblet	2
2701	5661.625	1622.75	16	0.00975	5.807	1641	1	Enterocyte (Top Villus)	4
2702	1539.92307692308	5862.26153846154	65	0.01565	3.814	4154	0.952	Smooth Muscle	1
2703	3750.15151515152	3607.18181818182	165	0.01943	5.462	8494	0.9955	Enterocyte (Bottom Villus)	4
2704	3426.36507936508	3886.19841269841	126	0.014	1.288	9002	1	Enterocyte (Bottom Villus)	2
2705	4243.88970588235	3196.51470588235	136	0.02638	2.59	5156	1	Enterocyte (Mid Villus)	4
2706	2619.92307692308	4757.69230769231	26	0.02222	1.875	1170	1	Goblet	2
2707	2159.203125	5234.72395833333	192	0.01445	1.782	13290	0.9893	Paneth	2
2708	2238.47668393782	5185.45595854922	193	0.01409	2.451	13700	0.9478	Paneth	2
2709	5660.33333333333	1681.05555555556	18	0.02284	2.945	788	1	Enterocyte (Top Villus)	4
2710	3971.39616613419	3410.98402555911	313	0.02712	1.347	11540	0.9997	Enterocyte (Mid Villus)	4
2711	1195.76086956522	6213.63043478261	92	0.01646	2.242	5591	0.9844	Endothelial	3
2712	2140.68085106383	5166.89361702128	47	0.01389	1.733	3384	0.9514	Paneth	2
2715	4008.55844155844	3350.35064935065	77	0.01367	2.398	5631	0.9922	Enterocyte (Mid Villus)	4
2716	1012.52	6359.96	25	0.02087	1.586	1198	0.9999	Smooth Muscle	1
2717	3580.3203125	3808.421875	128	0.01814	1.111	7057	1	Enterocyte (Bottom Villus)	2
2718	3214.03149606299	4198.69291338583	127	0.01225	4.912	10370	0.9748	Stromal	2
2719	5600.15	1737.35	20	0.0146	5.428	1370	0.9981	Enterocyte (Mid Villus)	4
272	3080.84	654.2	25	0.0147	1.315	1701	1	Paneth	2
2720	2647.17647058824	4664.1568627451	51	0.01155	1.624	4414	0.9942	Stem + TA	2
2721	4644.26315789474	2745.57894736842	19	0.02089	1.319	909.5	1	Enterocyte (Mid Villus)	4
2722	2808.4347826087	4651.60869565217	23	0.008819	2.796	2608	0.929	Stromal	
2723	1656.94594594595	5795.27027027027	37	0.009896	9.122	3739	0.814	Stromal	1
2724	3798.13157894737	3660.15789473684	38	0.01437	1.468	2645	1	Enterocyte (Mid Villus)	4
2725	3657.86206896552	3733.78448275862	116	0.01315	1.232	8823	0.9777	B (Plasma)	3
2726	4495.75182481752	2908.16058394161	137	0.01792	2.408	7644	0.9366	T (CD8+)	4
2727	5006.26865671642	2424.26865671642	67	0.01497	2.08	4476	0.9858	Enterocyte (Mid Villus)	4
2728	4193.41935483871	3193.38709677419	62	0.02265	2.287	2737	1	Enterocyte (Mid Villus)	
2729	3146.54385964912	4269.17543859649	114	0.018	2.826	6332	0.9919	Stem + TA	2
273	3195.89361702128	606.829787234043	94	0.01321	1.388	7117	0.9919	Stem + TA	2
2730	4083.16666666667	3373.55555555556	18	0.0186	4.291	967.5	1	Enterocyte (Mid Villus)	4
2731	4050.97101449275	3334.49275362319	69	0.02457	1.43	2808	0.9999	Enterocyte (Mid Villus)	4
2732	1380.41904761905	6024.62857142857	105	0.01526	1.646	6882	0.954	Smooth Muscle	1
2733	956.375	6460.1625	80	0.01666	2.581	4802	0.9848	Smooth Muscle	1
2734	4348.53141831239	3107.99640933573	557	0.02928	4.254	19020	0.9999	Goblet	
2735	1047.97058823529	6412.52941176471	68	0.01827	3.294	3722	0.947	Stromal	1
2736	3572.96363636364	3706.67272727273	55	0.0137	1.606	4016	0.9819	Macrophage + DC	2
2737	2742.52941176471	4725.41176470588	17	0.0165	1.593	1030	1	Stem + TA	2
2738	2306.08510638298	5143	94	0.01464	2.401	6422	0.9158	Stem + TA	2
2739	925.297872340426	6460.01063829787	94	0.01779	1.607	5285	0.9667	Smooth Muscle	1
274	3625.54838709677	81.9677419354839	93	0.02575	2.801	3611	0.9635	Tuft	2
2740	5703.67567567568	1775.59459459459	37	0.04579	1.246	808	1	Enterocyte (Top Villus)	4
2742	1740.95744680851	5640.48936170213	47	0.01488	3.728	3158	0.8788	Stromal	1
2743	3201.4126984127	4269.42857142857	63	0.02066	2.213	3049	0.9999	Goblet	2
2744	3534.44	3786.44	25	0.01643	2.474	1522	1	Stem + TA	2
2745	2348.25	5061.33928571429	56	0.00949	2.879	5901	0.9333	Stromal	2
2746	5679.31707317073	1682.75609756098	41	0.01588	4.408	2582	1	Enterocyte (Top Villus)	4
2748	3802.82894736842	3618.40789473684	76	0.01667	5.882	4559	0.9987	Enterocyte (Bottom Villus)	4
2749	2467.2380952381	4959.46666666667	105	0.01393	3.645	7540	0.9763	Stem + TA	2
275	1548.04109589041	2282.19178082192	73	0.01319	2.214	5533	0.9178	Stromal	1
2750	1536.25925925926	5930.57407407407	54	0.02091	1.715	2582	0.9459	Smooth Muscle	1
2751	3384.4	3973.33333333333	60	0.02326	1.566	2580	1	Enterocyte (Bottom Villus)	2
2753	2643.1568627451	4817.62745098039	102	0.01727	1.352	5905	1	Stem + TA	2
2754	4981.28767123288	2484.01369863014	73	0.02645	1.025	2760	0.9991	Enterocyte (Mid Villus)	4
2755	4281.58163265306	3140.07823129252	294	0.0322	5.012	9130	1	Enterocyte (Mid Villus)	4
2756	1743.30526315789	5723.8	95	0.01696	2.482	5601	0.9399	Smooth Muscle	1
2758	3459.58571428571	3998.20714285714	140	0.02001	1.552	6996	0.9952	Enterocyte (Bottom Villus)	2
2759	880.6	6503.84	25	0.009055	2.941	2761	0.8562	Stromal	1
276	2296.35164835165	1522.23626373626	182	0.0121	2.334	15040	0.9281	Smooth Muscle	1
2760	4912.92941176471	2485.75294117647	85	0.01574	6.256	5400	0.9975	Enterocyte (Mid Villus)	4
2761	2569.41176470588	4866.54901960784	51	0.01464	2.602	3483	0.9997	Stem + TA	2
2762	2629.89230769231	4810.78461538462	65	0.01754	2.273	3706	1	Stem + TA	2
2763	5643.14215686274	1780.73529411765	204	0.02018	1.511	10110	0.9983	Enterocyte (Mid Villus)	4
2764	4790.16883116883	2713.61038961039	77	0.01359	3.594	5666	0.9697	Enterocyte (Mid Villus)	4
2765	942.813953488372	6561.90697674419	86	0.01348	1.255	6379	0.878	Smooth Muscle	1
2766	4072.40495867769	3364.17355371901	121	0.02974	1.298	4069	1	Enterocyte (Mid Villus)	4
2767	1520.98181818182	5996.72727272727	55	0.009973	1.772	5515	0.8569	Smooth Muscle	1
2768	2537.01657458564	4908.79005524862	181	0.0195	1.68	9282	0.9795	Goblet	2
2769	4016.33823529412	3424.07352941176	68	0.02951	2.04	2304	1	Enterocyte (Mid Villus)	4
277	3152.63736263736	631.923076923077	182	0.02573	2.354	7074	0.9947	Stem + TA	2
2770	1201.53571428571	6262.57142857143	28	0.01488	2.868	1882	0.9947	Endothelial	3
2771	3763.28776978417	3708.58992805755	139	0.01656	2.246	8392	0.9963	Enterocyte (Mid Villus)	4
2772	3582.43055555556	3902.59722222222	144	0.02349	3.217	6131	0.9999	Enterocyte (Bottom Villus)	2
2773	5580.84946236559	1820.48387096774	93	0.01856	2.818	5011	0.9653	Enterocyte (Top Villus)	4
2774	2069.9375	5301.875	16	0.009281	2.509	1724	0.7679	Telocyte	3
2775	3310.44144144144	4220.6036036036	111	0.01985	2.662	5592	0.9998	Enterocyte (Bottom Villus)	2
2776	1093.06666666667	6360.11111111111	45	0.01908	6.437	2358	0.9684	Macrophage + DC	3
2777	917.195652173913	6530.58695652174	46	0.01786	3.517	2576	0.9956	Stromal	1
2778	3711.52150537634	3778.32795698925	372	0.02888	2.104	12880	0.9983	Enterocyte (Bottom Villus)	4
2779	4930.03921568627	2526.12549019608	255	0.03105	1.407	8213	1	Enterocyte (Mid Villus)	4
2780	1029.94736842105	6468.15789473684	19	0.01245	5.235	1526	0.7902	Smooth Muscle	1
2781	2616.64285714286	4864.10714285714	28	0.02341	3.682	1196	1	Goblet	2
2782	3456.84567901235	3972.62962962963	162	0.01766	1.627	9175	1	Enterocyte (Bottom Villus)	2
2783	3155.4	4393.8	10	0.009569	5.734	1045	0.9493	Endothelial	3
2785	4016.58333333333	3472.16666666667	24	0.01727	1.927	1390	1	Enterocyte (Mid Villus)	4
2786	3425.50423728814	4061.21610169492	236	0.02602	3.139	9069	0.999	Enterocyte (Bottom Villus)	2
2787	3559.28695652174	3835.72173913043	115	0.01563	1.915	7357	0.994	Enterocyte (Bottom Villus)	2
2788	3739.54545454545	3802	11	0.01554	5.632	708	0.9818	Enterocyte (Mid Villus)	4
2789	2223.42962962963	5219.88148148148	135	0.01245	3.337	10840	0.9671	Paneth	2
279	1456.31818181818	2340.22727272727	22	0.01725	1.322	1275	0.915	Smooth Muscle	1
2790	3285.65217391304	4261.91304347826	23	0.01285	3.005	1790	1	Goblet	2
2791	2091.44791666667	5407.85416666667	96	0.01913	1.257	5018	0.8994	Stromal	3
2792	4699.82386363636	2804	176	0.01578	3.434	11150	0.9903	Enterocyte (Mid Villus)	4
2793	3514.17171717172	3922.16161616162	99	0.01813	2.277	5460	1	Enterocyte (Bottom Villus)	2
2794	5685.15789473684	1812.36842105263	19	0.03866	3.548	491.5	0.9896	Enterocyte (Mid Villus)	4
2795	3995.17647058824	3506.70588235294	17	0.03001	2.744	566.5	1	Enterocyte (Bottom Villus)	4
2796	2686.8	4844.93333333333	60	0.02593	2.225	2314	1	Stem + TA	2
2797	4064.6312849162	3435.8156424581	179	0.02478	1.422	7224	1	Enterocyte (Mid Villus)	4
2799	4912.11445783133	2591.36746987952	166	0.02999	2.079	5536	1	Enterocyte (Mid Villus)	4
28	2036.66666666667	541.133333333333	15	0.01468	6.579	1022	0.9934	Smooth Muscle	1
280	1447.06666666667	2401.37777777778	90	0.0208	1.181	4326	0.9882	Smooth Muscle	1
2800	2232.78	5284.58	50	0.009623	2.398	5196	0.954	Paneth	2
2801	2616.09259259259	4916.74074074074	54	0.02684	3.858	2012	0.9994	Goblet	2
2803	4413.70689655172	3081.61206896552	116	0.0213	1.106	5447	0.984	Enterocyte (Mid Villus)	4
2804	3538.77777777778	3983.1746031746	126	0.02222	1.97	5670	1	Goblet	2
2805	1406.73134328358	6124.34328358209	67	0.0212	6.763	3161	0.9999	Smooth Muscle	1
2806	3845.63157894737	3653.68421052632	19	0.01004	2.64	1892	1	Stromal	4
2808	1844.28712871287	5726.92079207921	101	0.0163	1.825	6198	0.9605	Macrophage + DC	1
281	1424.92592592593	2443.48148148148	27	0.01471	2.963	1836	0.9997	Smooth Muscle	1
2810	2646.44827586207	4892.6091954023	87	0.04348	2.113	2001	1	Stem + TA	2
2811	4974.74358974359	2562.07692307692	39	0.01891	5.195	2062	0.9998	Enterocyte (Mid Villus)	4
2812	1798.92857142857	5713.35714285714	14	0.008	5.68	1750	0.941	Telocyte	1
2814	4128.43255813954	3396.26976744186	215	0.04064	1.325	5291	1	Enterocyte (Mid Villus)	4
2816	4048.7610619469	3529.7610619469	113	0.02796	2.068	4042	0.9914	Enterocyte (Mid Villus)	4
2817	3578.80681818182	3946.26136363636	88	0.02991	2.182	2942	1	Enterocyte (Bottom Villus)	2
2818	4838.07182320442	2658.66850828729	181	0.028	2.32	6464	0.9997	Enterocyte (Mid Villus)	4
2819	1301.5	6231.15	80	0.01362	2.005	5872	0.9451	Smooth Muscle	1
282	3436.18	404.775	200	0.02498	2.814	8008	0.987	B (Plasma)	2
2820	1343.58024691358	6137.1975308642	162	0.0155	2.281	10450	0.9793	Smooth Muscle	1
2821	3834.53333333333	3638.8	15	0.01085	1.571	1383	0.9945	Enterocyte (Mid Villus)	4
2822	4278.09638554217	3203.9156626506	166	0.02572	3.588	6454	1	Enterocyte (Mid Villus)	4
2823	3775.06666666667	3766.2	15	0.01027	2.337	1460	1	Enterocyte (Mid Villus)	4
2824	3089.16666666667	4400.16666666667	18	0.008419	3.68	2138	0.8637	Stromal	3
2825	4845.25	2729.3125	16	0.008024	12.6	1994	0.9999	Enterocyte (Mid Villus)	4
2826	3957.98392282958	3587.12861736334	311	0.02453	1.574	12680	0.9905	Enterocyte (Mid Villus)	4
2827	1061.06153846154	6550.12307692308	65	0.008799	1.143	7387	0.9203	Stromal	1
2828	3863.77551020408	3698.9387755102	49	0.02054	3.281	2386	0.9982	Enterocyte (Mid Villus)	4
2829	4138.86029411765	3445.93382352941	136	0.02931	3.209	4640	1	Enterocyte (Mid Villus)	4
283	3751.41666666667	57	24	0.02528	3.932	949.5	0.9768	Stem + TA	2
2830	2689.79534883721	4758.26511627907	215	0.02017	1.19	10660	0.9794	Stem + TA	2
2831	2145.6742081448	5325.32126696833	221	0.01806	1.185	12240	0.9744	Paneth	3
2832	3272.51515151515	4275.92929292929	99	0.01934	1.143	5118	0.9903	Goblet	2
2833	2172	5391.64864864865	37	0.01844	4.495	2006	1	Paneth	2
2834	4412.07653061224	3175.64540816327	392	0.03216	5.245	12190	0.9999	Enterocyte (Mid Villus)	4
2835	1711.1875	5798.4375	64	0.02479	4.539	2582	0.9815	Smooth Muscle	1
2836	1462.86725663717	6136.32743362832	113	0.01472	3.165	7679	0.9649	Smooth Muscle	1
2837	3655.60795454545	3874.05113636364	176	0.02004	3.596	8784	1	Enterocyte (Bottom Villus)	4
2838	3412.62025316456	4150.75949367089	79	0.0189	4.494	4181	0.9976	Stromal	4
2839	3305.72093023256	4228.18604651163	43	0.01328	2.67	3238	0.9874	B (Plasma)	2
284	3211.86861313869	596.839416058394	137	0.01769	2.804	7744	0.9985	Stem + TA	2
2840	2347.375	5196.25	32	0.005904	5.745	5420	0.9493	Stem + TA	2
2841	1120.26315789474	6424.87368421053	95	0.02135	2.267	4449	0.9586	Endothelial	1
2842	2001.57723577236	5628.50406504065	123	0.01543	1.046	7974	0.9748	Stromal	
2843	2521.48148148148	5030.51851851852	81	0.01374	2.046	5895	0.9828	Stem + TA	2
2844	2775.2441314554	4774.16901408451	213	0.02606	1.041	8174	0.9938	Stem + TA	2
2845	4118.29896907217	3502.30412371134	194	0.02399	2.18	8086	0.9948	Enterocyte (Mid Villus)	4
2846	3213.12903225806	4354.70967741936	31	0.01208	1.682	2567	0.8168	Macrophage + DC	3
2847	3590.59090909091	4002.77272727273	66	0.02339	2.516	2822	1	Enterocyte (Bottom Villus)	4
2848	3626.93333333333	3966.97777777778	45	0.01864	1.634	2414	1	Enterocyte (Bottom Villus)	4
2849	3889.71121718377	3618.7446300716	419	0.02674	1.517	15670	0.9988	Enterocyte (Mid Villus)	4
285	2610.36	1196.6	25	0.0116	1.557	2155	0.9999	Macrophage + DC	3
2850	3413.89548022599	4246.93502824859	354	0.02288	2.487	15470	0.9991	Enterocyte (Bottom Villus)	4
2851	3482.16040955631	4097.49829351536	293	0.02621	2.071	11180	0.9978	Enterocyte (Bottom Villus)	2
2852	1700.4	5864.73333333333	45	0.01152	2.981	3906	0.8645	Stromal	1
2853	2684.98214285714	4891.11904761905	168	0.0295	1.756	5694	0.9907	Stem + TA	2
2855	3723.5	3941.11428571429	70	0.01149	1.268	6092	1	Enterocyte (Mid Villus)	4
2856	2730.57746478873	4845.99530516432	213	0.02935	1.736	7258	0.9995	Stem + TA	2
2857	2351.18181818182	5200.59090909091	22	0.007519	1.347	2926	0.9243	Stem + TA	2
2858	4507.08837209302	3092.32093023256	215	0.02687	4.038	8001	1	Enterocyte (Mid Villus)	4
2859	4076.34042553192	3492.76595744681	47	0.01929	2.448	2436	1	Enterocyte (Mid Villus)	4
286	1610.2	2207.06666666667	15	0.01858	3.818	807.5	0.8823	Stromal	3
2860	2515	5012.2	10	0.007645	2.021	1308	0.8926	Stromal	2
2861	1046.83636363636	6633.67272727273	55	0.01327	1.811	4144	0.9749	Stromal	3
2862	1653.36956521739	5951.4347826087	46	0.01069	3.38	4302	0.8659	Smooth Muscle	1
2863	3070.9	4520	10	0.005074	2.916	1971	0.8435	Stromal	
2864	3618.18181818182	4011.27272727273	11	0.01841	2.845	597.5	1	Enterocyte (Bottom Villus)	4
2865	3639.44915254237	3923.41525423729	118	0.01598	3.23	7386	0.9935	Enterocyte (Bottom Villus)	4
2866	1189.92727272727	6420.56363636364	55	0.0107	1.994	5142	0.9395	Endothelial	1
2867	1336.53389830508	6313.13559322034	118	0.01866	2.273	6324	0.9703	Smooth Muscle	1
2868	3975.26229508197	3715.80737704918	244	0.0207	1.248	11790	0.9985	Enterocyte (Mid Villus)	4
2869	2409.88392857143	5234.64285714286	112	0.0145	1.898	7726	0.9861	Paneth	2
287	2614.64102564103	1223.57264957265	117	0.02128	2.357	5499	0.9974	Macrophage + DC	3
2870	2691.37671232877	4950.51369863014	146	0.03046	2.297	4793	0.9996	Stem + TA	2
2871	3864.07189542484	3704.49019607843	153	0.01544	2.166	9912	0.979	Enterocyte (Mid Villus)	4
2872	3561.11111111111	4026.11111111111	18	0.0381	3.917	472.5	1	Enterocyte (Bottom Villus)	2
2873	2251.68376068376	5367.69230769231	117	0.0191	2.371	6125	0.9966	Stem + TA	2
2874	3540.41538461538	4046.43076923077	65	0.01438	1.286	4519	1	Enterocyte (Bottom Villus)	2
2875	2577.25581395349	5045.39534883721	43	0.009958	2.098	4318	0.9213	Goblet	2
2876	4486.41904761905	3142.37142857143	105	0.02677	1.676	3922	1	Enterocyte (Mid Villus)	4
2877	4483.975	3205.05454545455	440	0.0395	2.36	11140	0.9989	Enterocyte (Mid Villus)	4
2878	1156.6	6500.38461538462	65	0.01569	1.824	4142	0.9979	Stromal	1
2879	2591.04848484848	4977.92121212121	165	0.02091	1.997	7890	0.9993	Stem + TA	2
288	3685.23076923077	116.730769230769	26	0.01884	4.746	1380	0.8666	Stem + TA	2
2880	1937.53731343284	5764.0447761194	67	0.01582	2.411	4235	0.9947	B (Plasma)	3
2881	2572.6	5054.45	20	0.01553	6.106	1288	0.9983	Goblet	2
2882	3559.48936170213	4033	47	0.02272	4.035	2069	1	Enterocyte (Bottom Villus)	2
2885	3955.86538461538	3754.09615384615	52	0.01661	1.547	3130	0.9939	T (CD8+)	4
2886	4345.09523809524	3230.40476190476	42	0.01821	2.681	2306	0.9771	Enterocyte (Mid Villus)	4
2887	3720.89473684211	3881.5	76	0.01883	1.812	4036	0.9878	Enterocyte (Mid Villus)	4
2888	3787.85810810811	3892.55405405405	148	0.01602	2.877	9240	0.9763	Enterocyte (Mid Villus)	4
2889	3501.6875	4170.20192307692	208	0.0208	1.173	10000	0.9998	Enterocyte (Bottom Villus)	4
289	3445.09677419355	461.258064516129	124	0.02531	3.223	4900	0.9991	Stem + TA	2
2890	2776.89575289575	4984.47104247104	259	0.02825	1.739	9168	0.9916	Stem + TA	2
2891	4106.66666666667	3540.85714285714	21	0.02285	3.541	919	1	Enterocyte (Mid Villus)	4
2892	4825.60209424084	2842.61780104712	382	0.02553	1.193	14960	0.9895	Enterocyte (Mid Villus)	4
2893	3452.1	4206.6	40	0.02222	4.215	1800	1	Enterocyte (Bottom Villus)	4
2894	3191.49367088608	4484.12658227848	79	0.01215	1.231	6500	0.8883	B (Plasma)	3
2895	2250.09361702128	5452.35744680851	235	0.01554	1.783	15120	0.9968	Paneth	2
2896	3696.68181818182	3950.03636363636	110	0.0176	1.537	6250	0.99	Enterocyte (Bottom Villus)	4
2897	4697.04166666667	3096.15277777778	72	0.01202	1.668	5990	0.8594	T (CD8+)	4
2898	1109.71508379888	6571.93854748603	179	0.02245	1.494	7974	0.9922	Myenteric Plexus	1
2899	3420.92307692308	4256.51282051282	39	0.006229	2.005	6261	0.8571	Enterocyte (Mid Villus)	4
29	2530.77397260274	50.5890410958904	146	0.01281	1.793	11400	0.9273	Smooth Muscle	1
290	2563.74509803922	1344.82352941176	51	0.01203	2.148	4241	0.9992	Telocyte	3
2900	4412.86363636364	3236.36363636364	22	0.02338	3.477	941	1	Enterocyte (Mid Villus)	4
2901	1535.97014925373	6079.70149253731	67	0.01355	5.304	4945	0.9819	Smooth Muscle	1
2902	2755.31707317073	4912.47038327526	287	0.04282	1.677	6702	0.9999	Goblet	2
2903	3665.51829268293	4012.9512195122	164	0.02323	1.49	7060	1	Enterocyte (Bottom Villus)	4
2904	2143.95714285714	5579.30476190476	210	0.02107	2.307	9968	0.9808	T (CD4+)	2
2905	3750.88235294118	3929.11764705882	17	0.01641	3.8	1036	1	Enterocyte (Mid Villus)	4
2906	793.9375	6841.9375	16	0.01362	2.59	1175	0.8018	Smooth Muscle	1
2907	1353.64	6395.16	25	0.009897	3.161	2526	0.9192	Smooth Muscle	1
2908	3126.40909090909	4538.68181818182	22	0.01806	2.829	1218	0.8323	Macrophage + DC	3
2909	1172.87878787879	6543.63636363636	33	0.007534	3.229	4380	0.7543	Smooth Muscle	1
291	3271.2380952381	568.642857142857	42	0.01325	1.885	3169	0.9815	Stromal	2
2910	3351.96216216216	4323.11621621622	370	0.02723	1.306	13590	0.9987	Enterocyte (Bottom Villus)	4
2911	2818.06349206349	4839.99470899471	189	0.02637	1.616	7166	0.9986	Stem + TA	2
2912	1017.05797101449	6727.49275362319	69	0.01495	1.759	4616	0.9995	Stromal	3
2913	2451.35555555556	5219.15555555556	45	0.012	2.722	3749	0.9787	Stem + TA	2
2914	3622.16239316239	4065.75213675214	117	0.01898	1.981	6163	0.9764	Goblet	4
2915	3152.58333333333	4490.54166666667	24	0.008876	1.233	2704	0.8895	B (Plasma)	3
2916	2376.91379310345	5221.14655172414	116	0.01053	2.004	11020	0.9746	Stem + TA	2
2917	2272.82608695652	5396.17391304348	46	0.01492	3.197	3084	0.986	Paneth	2
2918	1747.05747126437	5899.28735632184	87	0.01865	2.406	4666	0.9341	Macrophage + DC	1
2919	4493.67741935484	3131.58064516129	93	0.02061	1.28	4512	1	Goblet	4
292	3753.45348837209	144.616279069767	86	0.01789	1.333	4806	0.9551	Stem + TA	2
2920	2056.79487179487	5631.53846153846	78	0.01692	2.801	4610	0.9563	Paneth	2
2921	3294.99107142857	4438.17857142857	112	0.01481	2.337	7562	0.984	Stem + TA	4
2922	2334.65873015873	5424.05555555556	126	0.01904	4.007	6618	0.9983	Stem + TA	2
2923	4553.76595744681	3150.97872340426	94	0.03228	1.455	2912	1	Enterocyte (Mid Villus)	4
2924	1543.61538461538	6183.15384615385	13	0.01138	9.126	1142	0.8874	Smooth Muscle	1
2925	3710.85714285714	4048.57142857143	28	0.01506	1.479	1859	0.9984	Enterocyte (Bottom Villus)	4
2926	3533.18309859155	4124.84507042254	71	0.01698	5.905	4181	0.9928	Enterocyte (Bottom Villus)	2
2927	1429.68047337278	6233.11834319527	169	0.01952	1.651	8656	0.9625	Smooth Muscle	1
2928	1971.25490196078	5721.03431372549	204	0.02461	2.682	8290	0.9982	Paneth	2
2929	2824.08571428571	4909.43428571429	175	0.03063	2.173	5713	1	Stem + TA	2
293	1637.44695259594	2299.4762979684	443	0.03267	1.426	13560	1	Myenteric Plexus	1
2930	2925.47058823529	4789.58823529412	17	0.01019	2.561	1668	0.9015	Endothelial	3
2931	1643.25170068027	6090.40136054422	147	0.01226	3.542	11990	0.9595	Smooth Muscle	1
2933	2006.33333333333	5725.9696969697	33	0.009306	4.92	3546	0.9322	Paneth	2
2934	2471.4	5248.5	10	0.01955	1.818	511.5	0.8625	Stem + TA	2
2935	3571.58426966292	4137.62921348315	89	0.0185	2.266	4810	1	Enterocyte (Bottom Villus)	4
2936	1998.84615384615	5765.07692307692	26	0.007917	1.877	3284	0.9959	Paneth	2
2937	2691.31111111111	5016.84074074074	270	0.03168	1.571	8522	0.9995	Stem + TA	2
2938	4044.22596153846	3668.15865384615	208	0.02059	2.192	10100	0.9882	Enterocyte (Mid Villus)	4
2939	2459.9	5210	10	0.009794	6.493	1021	0.9516	Stem + TA	2
294	2571.39805825243	1263.99029126214	103	0.01748	2.142	5893	0.9997	Macrophage + DC	3
2940	3693.60714285714	3996.96428571429	28	0.01417	2.831	1976	0.9694	Enterocyte (Mid Villus)	4
2941	1512.82051282051	6190.66666666667	156	0.01266	8.734	12320	0.9369	Smooth Muscle	1
2942	4789.13567839196	2994.21105527638	199	0.01502	1.858	13250	0.9421	Goblet	4
2943	2104.99551569507	5667.13004484305	223	0.01787	2.605	12480	0.9824	Stem + TA	2
2944	3257.61403508772	4516.64912280702	57	0.0135	1.809	4222	0.9939	Stem + TA	3
